//Fill Tile
//Fill:0
//Layer,TileID,X,Y
1,2,6,-3
1,2,6,-4
1,2,6,-5
1,2,6,-7
1,2,6,-8
1,2,6,-6
1,2,7,-5
1,2,8,-5
1,2,9,-5
1,2,10,-8
1,2,10,-7
1,2,10,-6
1,2,10,-5
1,2,10,-4
1,2,10,-3
1,2,10,-2
1,2,12,-2
1,2,12,-3
1,2,12,-4
1,2,12,-5
1,2,12,-6
1,2,12,-8
1,0,0,0
1,0,0,1
1,2,6,-2
1,0,11,0
1,0,2,0
1,0,4,0
1,0,3,0
1,0,5,0
1,0,11,1
1,0,2,1
1,0,3,1
1,0,4,1
1,0,5,1
1,0,5,3
1,0,4,3
1,0,3,3
1,0,2,3
1,0,11,3
1,0,0,3
1,0,0,4
1,0,11,4
1,0,2,4
1,0,4,4
1,0,5,4
1,0,3,4
0,10,-8,-1
0,10,-8,4
0,10,-8,2

0,10,9,19
0,10,10,19
0,10,11,19
0,10,12,19
0,10,12,18
0,10,13,18
0,10,13,17
0,10,13,19
0,10,14,18
0,10,14,19
0,10,16,19
0,10,15,19
0,10,17,19
0,0,10,0
0,10,16,18
0,10,15,18
0,10,16,17
0,10,16,16
0,10,16,15
0,10,18,19
0,10,19,19
0,10,17,17
0,10,17,18
0,10,18,18
0,10,20,19
0,10,19,18
0,10,19,16
0,10,19,17
0,10,19,15
0,10,19,14
0,10,19,12
0,10,19,13
0,10,21,19
0,10,22,19
0,10,22,18
0,10,22,17
0,10,22,16
0,10,22,15
0,10,22,14
0,10,20,18
0,10,21,18
0,10,21,14
0,10,20,14
0,10,20,15
0,10,21,15
0,10,21,16
0,10,20,16
0,10,20,17
0,10,20,13
0,10,21,17
0,2,27,20
0,11,29,20
0,11,28,20
0,11,30,20
0,11,31,20
0,11,32,20
0,11,33,20
0,11,34,20
0,11,35,20
0,11,36,20

0,10,30,13
0,10,31,13
0,10,33,13
0,10,32,13
0,10,35,15
0,10,36,15
0,10,37,15
0,10,38,15
0,10,41,14
0,10,43,14
0,10,42,14
0,10,44,14
0,10,56,19
0,10,56,18
0,10,56,17
0,10,56,16
0,10,56,15
0,10,56,14
0,10,23,16
0,10,23,17
0,10,23,18
0,10,23,19
0,10,24,18
0,10,24,19
0,10,47,16
0,10,49,16
0,10,48,16
0,10,49,15
0,10,50,15
0,10,50,14
0,10,51,14
0,10,59,17
0,10,59,18
0,10,58,18
0,10,58,17
0,10,58,19
0,10,59,19
0,10,61,16
0,10,62,16
0,10,61,17
0,10,61,18
0,10,61,19
0,10,62,18
0,10,62,17
0,10,62,19
0,10,65,15
0,10,65,17
0,10,65,16
0,10,65,18
0,10,65,19
0,10,66,19
0,10,66,17
0,10,66,16
0,10,66,15
0,10,66,18
0,10,63,19
0,10,64,19
0,10,68,13
0,10,69,13
0,10,67,17
0,10,67,18
0,10,67,19
0,10,68,19
0,10,68,18
0,10,70,13
0,10,72,13
0,10,77,10
0,10,75,11
0,10,78,10
0,10,77,11
0,10,76,11
0,10,83,7
0,10,82,7
0,10,84,7
0,10,81,7
0,10,90,8
0,10,90,9
0,10,90,15
0,10,90,10
0,10,90,11
0,10,90,12
0,10,90,14
0,10,90,13
0,10,90,16
0,10,90,17
0,10,90,18
0,10,90,19
0,11,95,15
0,11,95,17
0,11,93,9
0,11,94,9
0,11,95,9
0,11,96,9
0,11,97,9
0,11,95,10
0,11,95,11
0,11,95,12
0,11,99,9
0,11,99,11
0,11,99,10
0,11,99,12
0,11,99,13
0,11,100,11
0,11,101,11
0,11,102,11
0,11,103,11
0,11,103,9
0,11,103,10
0,11,103,12
0,11,103,13
0,11,105,18
0,11,106,19
0,11,95,19
0,11,96,17
0,11,96,15
0,11,96,19
0,11,97,19
0,11,97,15
0,11,93,15
0,11,93,16
0,11,93,17
0,11,93,18
0,11,93,19
0,11,94,19
0,11,94,17
0,11,94,15
0,11,99,15
0,11,99,16
0,11,99,18
0,11,99,17
0,11,99,19
0,11,100,16
0,11,101,17
0,11,102,18
0,11,103,19
0,11,103,18
0,11,103,17
0,11,103,16
0,11,103,15
0,11,105,9
0,11,105,10
0,11,105,11
0,11,105,12
0,11,105,13
0,11,106,13
0,11,107,13
0,11,108,13
0,11,109,13
0,11,106,11
0,11,107,11
0,11,108,11
0,11,106,9
0,11,107,9
0,11,108,9
0,11,109,9
0,11,105,15
0,11,105,16
0,11,105,17
0,11,105,19
0,11,106,15
0,11,107,19
0,11,107,15
0,11,109,17
0,11,108,15
0,11,109,16
0,11,109,18
0,11,108,19
0,10,48,15
0,10,49,14
0,10,50,16
0,10,51,15
0,10,51,16

0,10,115,15
0,10,115,12
0,10,115,14
0,10,115,13
0,10,115,11
0,10,115,17
0,10,115,16
0,10,115,18
0,10,115,19
0,10,115,10
0,10,115,9
0,10,115,8
0,10,115,7
0,10,115,6
0,10,115,5
0,10,115,4
0,10,115,3
0,11,95,13
0,10,71,13
0,10,76,10
0,10,75,10
0,10,82,8
0,10,83,8
0,10,84,8
0,10,84,9
0,10,85,8
0,10,85,9
0,10,86,8
0,10,24,17
0,10,24,16
0,10,25,18
0,10,26,17
0,10,25,17
0,10,26,18
0,10,26,19
0,10,25,19
0,10,27,18
0,10,28,18
0,10,28,19
0,10,27,19
0,10,24,11
0,10,26,11
0,10,25,11
0,10,15,17
0,10,14,17
0,10,18,17
0,10,18,16
0,10,17,16
0,10,17,15
0,10,18,15
0,11,111,15
0,11,112,15
0,11,113,15
0,11,112,17
0,11,112,19
0,11,113,16
0,11,113,17

