//Fill Tile
Fill:0
//Layer,TileID,X,Y
0,2,-2,-2
0,2,-2,-3
0,2,-2,-4
0,2,-2,-5
0,2,-2,-6
0,2,-2,-7
0,2,-2,-8
0,2,-1,-5
0,2,0,-5
0,2,1,-5
0,2,2,-8
0,2,2,-7
0,2,2,-6
0,2,2,-5
0,2,2,-3
0,2,2,-2
0,2,2,-4
0,2,4,-2
0,2,4,-3
0,2,4,-4
0,2,4,-5
0,2,4,-6
0,2,4,-8
1,2,6,-3
1,2,6,-4
1,2,6,-5
1,2,6,-7
1,2,6,-8
1,2,6,-6
1,2,7,-5
1,2,8,-5
1,2,9,-5
1,2,10,-8
1,2,10,-7
1,2,10,-6
1,2,10,-5
1,2,10,-4
1,2,10,-3
1,2,10,-2
1,2,12,-2
1,2,12,-3
1,2,12,-4
1,2,12,-5
1,2,12,-6
1,2,12,-8
1,8,0,0
1,9,0,1
1,2,6,-2
1,8,1,0
1,8,2,0
1,8,4,0
1,8,3,0
1,8,5,0
1,9,1,1
1,9,2,1
1,9,3,1
1,9,4,1
1,9,5,1
1,8,5,3
1,8,4,3
1,8,3,3
1,8,2,3
1,8,1,3
1,8,0,3
1,9,0,4
1,9,1,4
1,9,2,4
1,9,4,4
1,9,5,4
1,9,3,4
0,6,-8,-1
0,6,-8,4
0,6,-8,2
0,2,2,20
0,2,4,20
0,2,5,20
0,2,6,20
0,2,3,20
0,2,1,20
0,2,7,20
0,2,9,20
0,2,8,20
0,2,10,20
0,2,12,20
0,2,11,20
0,2,13,20
0,2,14,20
0,2,15,20
0,2,16,20
0,2,17,20
0,2,18,20
0,2,19,20
0,2,20,20
0,2,22,20
0,2,23,20
0,2,21,20
0,2,24,20
0,2,26,20
0,2,25,20
0,2,9,19
0,2,10,19
0,2,11,19
0,2,12,19
0,2,12,18
0,2,13,18
0,2,13,17
0,2,13,19
0,2,14,18
0,2,14,19
0,2,16,19
0,2,15,19
0,2,17,19
